Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
08.03.2022,"20,21","20,32","20,46","19,97","3,81M","-0,54%"
07.03.2022,"20,32","19,62","20,61","19,60","4,68M","2,42%"
04.03.2022,"19,84","20,74","20,81","19,82","4,58M","-4,75%"
03.03.2022,"20,83","21,03","21,48","20,81","4,10M","-0,43%"
02.03.2022,"20,92","21,72","21,85","20,92","2,49M","-3,33%"
01.03.2022,"21,64","22,29","22,53","21,33","3,21M","-2,83%"
28.02.2022,"22,27","24,63","24,63","22,27","3,44M","-9,98%"
25.02.2022,"24,74","24,35","25,61","24,35","1,62M","1,69%"
24.02.2022,"24,33","24,80","25,46","23,67","3,71M","-7,46%"
23.02.2022,"26,29","26,45","26,90","26,29","994,37K","-0,75%"
22.02.2022,"26,49","26,68","26,75","26,25","1,08M","-1,63%"
21.02.2022,"26,93","27,19","27,28","26,79","628,70K","-0,55%"
18.02.2022,"27,08","26,68","27,17","26,68","808,94K","1,92%"
17.02.2022,"26,57","27,17","27,17","26,47","1,22M","-1,34%"
16.02.2022,"26,93","27,28","27,28","26,90","958,74K","-0,48%"
15.02.2022,"27,06","26,71","27,10","26,27","1,25M","2,23%"
14.02.2022,"26,47","26,36","26,62","26,05","1,67M","-1,05%"
11.02.2022,"26,75","26,45","26,82","26,10","935,86K","0,49%"
10.02.2022,"26,62","27,10","27,10","26,62","1,17M","-2,31%"
09.02.2022,"27,25","26,62","27,25","26,38","1,26M","3,38%"
08.02.2022,"26,36","26,31","26,92","26,03","1,13M","0,19%"
07.02.2022,"26,31","25,98","26,31","25,51","1,82M","1,58%"
04.02.2022,"25,90","26,53","26,53","25,64","1,67M","-2,15%"
03.02.2022,"26,47","26,80","26,97","26,21","2,56M","-1,67%"
02.02.2022,"26,92","27,04","27,14","26,82","1,88M","0,07%"
01.02.2022,"26,90","26,88","27,10","26,84","1,48M","0,49%"
31.01.2022,"26,77","27,01","27,17","26,77","882,10K","-0,11%"
28.01.2022,"26,80","27,25","27,34","26,71","2,48M","-0,70%"
27.01.2022,"26,99","26,23","26,99","26,23","2,15M","3,02%"
26.01.2022,"26,20","25,55","26,33","25,55","1,34M","2,62%"
25.01.2022,"25,53","25,75","25,92","25,11","1,19M","-0,43%"
24.01.2022,"25,64","26,68","26,79","25,53","1,38M","-4,01%"
21.01.2022,"26,71","26,69","26,88","26,29","1,23M","-0,07%"
20.01.2022,"26,73","26,95","27,25","26,34","2,19M","-0,41%"
19.01.2022,"26,84","26,18","26,97","25,35","4,05M","2,95%"
18.01.2022,"26,07","27,43","27,43","26,07","3,33M","-4,96%"
17.01.2022,"27,43","27,60","27,84","27,30","3,40M","0,55%"
14.01.2022,"27,28","26,99","27,52","26,95","3,82M","1,15%"
13.01.2022,"26,97","26,80","27,16","26,71","1,87M","0,63%"
12.01.2022,"26,80","27,54","27,56","26,68","2,94M","0,11%"
11.01.2022,"26,77","27,49","27,49","26,71","1,83M","-1,87%"
10.01.2022,"27,28","27,12","27,51","27,12","3,13M","0,92%"
07.01.2022,"27,03","28,00","28,08","26,90","3,06M","-2,98%"
06.01.2022,"27,86","27,86","28,08","27,58","1,35M","-0,43%"
05.01.2022,"27,98","27,51","28,30","27,36","2,12M","2,08%"
04.01.2022,"27,41","28,08","28,81","27,23","3,72M","-2,32%"
03.01.2022,"28,06","27,87","28,32","27,14","1,38M","2,78%"
31.12.2021,"27,30","27,08","27,45","26,95","1,03M","1,22%"
30.12.2021,"26,97","27,19","27,73","26,97","1,38M","0,19%"
29.12.2021,"26,92","26,64","27,32","26,38","1,36M","0,98%"
28.12.2021,"26,66","27,23","27,34","26,47","1,60M","0,00%"
27.12.2021,"26,66","26,77","27,45","26,31","2,81M","0,30%"
24.12.2021,"26,58","25,90","26,82","25,88","1,33M","2,98%"
23.12.2021,"25,81","26,36","26,90","25,04","3,39M","-1,19%"
22.12.2021,"26,12","27,12","27,25","26,12","7,75M","-9,99%"
21.12.2021,"29,02","32,17","32,17","29,02","3,69M","-9,93%"
20.12.2021,"32,22","30,51","33,11","29,96","4,06M","-0,46%"
17.12.2021,"32,37","32,06","34,73","30,82","6,38M","2,50%"
16.12.2021,"31,58","30,86","31,99","30,10","4,01M","3,75%"
15.12.2021,"30,44","30,40","30,88","29,59","3,26M","2,18%"
14.12.2021,"29,79","29,92","30,14","28,69","4,80M","1,81%"
13.12.2021,"29,26","28,32","29,99","28,21","4,78M","4,99%"
10.12.2021,"27,87","27,30","28,13","27,27","3,67M","2,50%"
09.12.2021,"27,19","26,25","27,38","25,96","2,51M","3,86%"
08.12.2021,"26,18","25,86","26,58","25,86","2,71M","2,11%"
07.12.2021,"25,64","25,11","25,96","25,11","2,89M","2,72%"
06.12.2021,"24,96","24,80","25,81","24,26","3,21M","2,51%"
03.12.2021,"24,35","24,32","24,68","24,28","2,11M","0,58%"
02.12.2021,"24,21","23,38","24,33","23,36","4,31M","3,55%"
01.12.2021,"23,38","23,32","23,56","23,28","2,91M","1,04%"
30.11.2021,"23,14","23,03","23,38","22,90","3,02M","0,48%"
29.11.2021,"23,03","22,40","23,04","22,31","3,47M","3,00%"
26.11.2021,"22,36","23,14","23,17","22,25","2,78M","-4,12%"
25.11.2021,"23,32","23,50","23,58","23,19","3,97M","0,17%"
24.11.2021,"23,28","22,44","23,28","22,44","6,49M","3,93%"
23.11.2021,"22,40","22,71","22,86","21,74","5,89M","-1,37%"
22.11.2021,"22,71","22,75","23,01","22,68","1,74M","0,13%"
19.11.2021,"22,68","22,86","23,21","22,58","2,90M","-0,40%"
18.11.2021,"22,77","22,86","22,95","22,56","4,03M","-0,39%"
17.11.2021,"22,86","22,82","23,06","22,80","1,89M","0,18%"
16.11.2021,"22,82","22,99","23,03","22,56","2,15M","-0,48%"
15.11.2021,"22,93","22,53","23,21","22,53","2,37M","1,96%"
12.11.2021,"22,49","22,84","23,14","22,31","1,43M","-1,45%"
11.11.2021,"22,82","22,64","23,03","22,56","1,40M","0,80%"
10.11.2021,"22,64","22,18","22,77","22,07","1,49M","1,84%"
09.11.2021,"22,23","22,23","22,55","22,10","1,29M","0,00%"
08.11.2021,"22,23","21,57","22,23","21,57","1,20M","3,40%"
05.11.2021,"21,50","22,01","22,07","21,46","2,04M","-3,20%"
04.11.2021,"22,21","22,42","22,62","22,14","2,09M","0,73%"
03.11.2021,"22,05","21,62","22,07","21,18","2,70M","1,43%"
02.11.2021,"21,74","21,48","21,74","20,92","2,09M","1,59%"
01.11.2021,"21,40","20,50","21,40","20,50","2,46M","4,59%"
28.10.2021,"20,46","20,65","20,65","20,43","340,33K","-0,82%"
27.10.2021,"20,63","20,65","20,72","20,48","728,80K","-0,10%"
26.10.2021,"20,65","20,59","20,68","20,48","1,27M","0,83%"
25.10.2021,"20,48","20,09","20,52","20,02","1,66M","1,74%"
22.10.2021,"20,13","19,73","20,15","19,65","1,04M","2,03%"
21.10.2021,"19,73","19,60","19,76","19,36","688,28K","1,08%"
20.10.2021,"19,52","19,67","19,76","19,39","1,49M","-0,76%"
19.10.2021,"19,67","19,52","19,76","19,52","1,16M","0,92%"
18.10.2021,"19,49","19,32","19,62","19,25","1,38M","0,98%"
15.10.2021,"19,30","19,47","19,50","19,15","1,03M","-0,77%"
14.10.2021,"19,45","19,28","19,60","19,26","888,23K","0,67%"
13.10.2021,"19,32","19,36","19,50","19,25","898,25K","-0,31%"
12.10.2021,"19,38","19,41","19,50","19,32","895,10K","-0,36%"
11.10.2021,"19,45","19,73","19,82","19,43","1,17M","-0,10%"
08.10.2021,"19,47","19,45","19,60","19,39","905,61K","0,31%"
07.10.2021,"19,41","19,54","19,67","19,32","1,01M","-0,31%"
06.10.2021,"19,47","19,71","19,84","19,45","1,10M","-1,77%"
05.10.2021,"19,82","20,06","20,22","19,62","1,85M","-0,90%"
04.10.2021,"20,00","19,58","20,28","19,58","1,45M","2,15%"
01.10.2021,"19,58","19,63","19,69","19,38","1,06M","-0,76%"
30.09.2021,"19,73","19,58","19,73","19,08","1,54M","0,77%"
29.09.2021,"19,58","19,06","19,58","18,97","2,09M","3,22%"
28.09.2021,"18,97","18,73","18,97","18,62","1,52M","1,39%"
27.09.2021,"18,71","18,62","18,90","18,55","1,44M","1,08%"
24.09.2021,"18,51","18,82","18,95","18,41","1,03M","-1,65%"
23.09.2021,"18,82","18,91","19,06","18,75","995,38K","-0,11%"
22.09.2021,"18,84","18,86","18,97","18,69","665,46K","0,48%"
21.09.2021,"18,75","18,97","19,08","18,66","887,80K","-0,27%"
20.09.2021,"18,80","19,19","19,19","18,75","2,40M","-2,34%"
17.09.2021,"19,25","19,91","20,02","19,25","1,66M","-3,31%"
16.09.2021,"19,91","20,00","20,11","19,84","898,08K","-0,65%"
15.09.2021,"20,04","20,11","20,13","19,89","1,04M","0,00%"
14.09.2021,"20,04","20,08","20,33","19,93","1,25M","0,45%"
13.09.2021,"19,95","20,02","20,09","19,89","426,49K","-0,25%"
10.09.2021,"20,00","20,28","20,35","20,00","711,88K","-1,38%"
09.09.2021,"20,28","19,87","20,33","19,80","835,20K","1,96%"
08.09.2021,"19,89","20,33","20,35","19,89","1,06M","-2,16%"
07.09.2021,"20,33","20,68","20,92","20,33","881,08K","-1,98%"
06.09.2021,"20,74","20,72","21,03","20,61","1,13M","-0,10%"
03.09.2021,"20,76","20,94","21,05","20,72","853,62K","-0,76%"
02.09.2021,"20,92","20,65","20,98","20,65","1,67M","1,41%"
01.09.2021,"20,63","20,33","20,70","20,22","1,36M","2,03%"
31.08.2021,"20,22","19,76","20,24","19,71","1,33M","3,01%"
27.08.2021,"19,63","19,78","19,84","19,63","767,98K","-0,76%"
26.08.2021,"19,78","20,04","20,13","19,74","944,30K","-1,20%"
25.08.2021,"20,02","20,28","20,39","20,02","652,65K","-1,28%"
24.08.2021,"20,28","20,26","20,61","20,26","1,30M","0,45%"
23.08.2021,"20,19","20,02","20,35","20,02","812,46K","1,05%"
20.08.2021,"19,98","20,06","20,17","19,91","624,98K","-0,40%"
19.08.2021,"20,06","20,26","20,26","20,04","637,65K","-1,08%"
18.08.2021,"20,28","20,46","20,59","20,26","1,71M","-0,64%"
17.08.2021,"20,41","20,57","20,59","20,41","475,36K","-0,78%"
16.08.2021,"20,57","20,46","20,70","20,43","850,30K","0,64%"
13.08.2021,"20,44","20,41","20,78","20,19","2,24M","0,44%"
12.08.2021,"20,35","20,41","20,44","20,15","914,86K","0,35%"
11.08.2021,"20,28","20,41","20,44","20,09","1,08M","-0,44%"
10.08.2021,"20,37","20,43","20,52","20,37","612,72K","-0,20%"
09.08.2021,"20,41","20,59","20,61","20,41","825,18K","-0,34%"
06.08.2021,"20,48","20,54","20,63","20,43","697,07K","-0,10%"
05.08.2021,"20,50","20,28","20,65","20,28","836,96K","0,34%"
04.08.2021,"20,43","20,56","20,63","20,35","844,93K","-0,44%"
03.08.2021,"20,52","20,74","20,85","20,52","956,34K","-0,77%"
02.08.2021,"20,68","20,63","20,74","20,43","866,75K","0,98%"
30.07.2021,"20,48","20,43","20,50","20,30","551,68K","0,10%"
29.07.2021,"20,46","20,28","20,48","20,28","683,89K","1,34%"
28.07.2021,"20,19","20,35","20,43","20,17","574,19K","-0,79%"
27.07.2021,"20,35","20,33","20,48","20,30","508,04K","0,10%"
26.07.2021,"20,33","20,09","20,37","20,06","638,28K","1,19%"
19.07.2021,"20,09","20,35","20,39","20,08","312,71K","-1,28%"
16.07.2021,"20,35","20,61","20,70","20,30","599,56K","-1,26%"
14.07.2021,"20,61","20,30","20,63","20,22","643,23K","2,28%"
13.07.2021,"20,15","20,19","20,70","20,08","1,05M","0,30%"
12.07.2021,"20,09","20,28","20,54","20,09","1,17M","-0,74%"
09.07.2021,"20,24","20,41","20,52","20,22","828,19K","-0,74%"
08.07.2021,"20,39","20,54","20,63","20,33","698,77K","-0,83%"
07.07.2021,"20,56","20,52","20,72","20,44","493,25K","0,29%"
06.07.2021,"20,50","20,74","20,83","20,50","331,82K","-1,06%"
05.07.2021,"20,72","20,52","20,76","20,48","462,66K","0,97%"
02.07.2021,"20,52","20,50","20,65","20,33","540,85K","-0,19%"
01.07.2021,"20,56","20,54","21,00","20,41","665,31K","0,19%"
30.06.2021,"20,52","20,70","20,70","20,32","750,61K","0,39%"
29.06.2021,"20,44","20,61","20,63","20,30","847,02K","-0,82%"
28.06.2021,"20,61","20,68","20,98","20,61","559,79K","-0,19%"
25.06.2021,"20,65","21,20","21,26","20,54","995,70K","-1,67%"
24.06.2021,"21,00","20,78","21,07","20,78","551,18K","0,82%"
23.06.2021,"20,83","20,50","21,11","20,50","1,90M","1,91%"
22.06.2021,"20,44","20,54","20,63","20,24","1,26M","0,89%"
21.06.2021,"20,26","20,44","20,59","20,15","1,28M","-1,07%"
18.06.2021,"20,48","20,48","20,63","20,21","1,48M","0,24%"
17.06.2021,"20,43","20,81","20,87","20,26","855,74K","-1,83%"
16.06.2021,"20,81","21,38","21,42","20,79","917,31K","-2,62%"
15.06.2021,"21,37","21,59","21,68","21,26","1,47M","-0,93%"
14.06.2021,"21,57","21,79","21,88","21,42","1,69M","-0,51%"
11.06.2021,"21,68","21,57","21,85","21,53","1,15M","0,79%"
10.06.2021,"21,51","21,48","21,74","21,37","1,17M","0,94%"
09.06.2021,"21,31","21,48","21,50","21,22","645,75K","-0,51%"
08.06.2021,"21,42","21,51","21,62","21,26","921,93K","-0,28%"
07.06.2021,"21,48","21,09","21,66","21,09","2,36M","2,14%"
04.06.2021,"21,03","20,92","21,27","20,87","1,53M","0,57%"
03.06.2021,"20,91","21,31","21,40","20,79","887,53K","-1,69%"
02.06.2021,"21,27","21,09","21,27","20,92","954,65K","0,66%"
01.06.2021,"21,13","21,11","21,29","20,96","767,24K","0,28%"
31.05.2021,"21,07","21,59","21,99","21,07","852,71K","-0,71%"
28.05.2021,"21,22","21,03","21,40","20,65","1,09M","1,29%"
27.05.2021,"20,95","21,20","21,37","20,95","1,01M","-0,95%"
26.05.2021,"21,15","20,98","21,19","20,76","1,38M","1,63%"
25.05.2021,"20,81","21,19","21,42","20,76","1,69M","-1,70%"
24.05.2021,"21,17","21,25","21,39","21,10","1,29M","-0,38%"
21.05.2021,"21,25","21,68","21,78","21,22","1,22M","-2,21%"
20.05.2021,"21,73","21,41","21,80","21,41","1,13M","1,59%"
18.05.2021,"21,39","21,46","21,75","21,34","996,13K","0,00%"
17.05.2021,"21,39","21,61","21,90","21,22","1,37M","0,00%"
12.05.2021,"21,39","21,41","21,46","21,13","431,16K","-0,09%"
11.05.2021,"21,41","20,95","21,58","20,57","1,63M","1,61%"
10.05.2021,"21,07","20,91","21,19","20,90","835,26K","0,81%"
07.05.2021,"20,90","21,07","21,12","20,79","1,22M","-0,38%"
06.05.2021,"20,98","20,96","21,10","20,52","1,97M","0,62%"
05.05.2021,"20,85","20,44","20,93","20,44","1,47M","2,46%"
04.05.2021,"20,35","20,61","20,68","20,11","1,79M","-1,26%"
03.05.2021,"20,61","20,06","20,62","19,98","949,87K","4,04%"
30.04.2021,"19,81","20,44","20,81","19,81","1,07M","-3,08%"
29.04.2021,"20,44","19,89","20,71","19,79","1,79M","2,77%"
28.04.2021,"19,89","19,72","19,94","19,45","658,35K","1,43%"
27.04.2021,"19,61","19,44","19,91","19,40","1,20M","1,34%"
26.04.2021,"19,35","19,32","19,55","19,20","818,94K","0,16%"
22.04.2021,"19,32","18,69","19,33","18,69","1,30M","1,10%"
21.04.2021,"19,11","19,30","19,32","18,64","3,55M","-0,88%"
20.04.2021,"19,28","19,04","19,49","18,94","2,03M","1,31%"
19.04.2021,"19,03","18,86","19,25","18,79","1,74M","1,12%"
16.04.2021,"18,82","18,89","19,03","18,55","2,08M","0,00%"
15.04.2021,"18,82","18,55","18,91","18,48","3,00M","1,89%"
14.04.2021,"18,47","18,48","18,84","18,38","1,62M","0,65%"
13.04.2021,"18,35","18,14","18,52","17,86","2,68M","1,33%"
12.04.2021,"18,11","18,40","18,48","17,92","1,87M","-1,58%"
09.04.2021,"18,40","18,50","18,67","18,18","2,33M","-0,65%"
08.04.2021,"18,52","18,03","18,64","18,03","3,08M","3,12%"
07.04.2021,"17,96","17,99","18,16","17,74","2,59M","-0,17%"
06.04.2021,"17,99","18,64","18,72","17,99","3,08M","-3,28%"
05.04.2021,"18,60","18,47","18,72","18,43","1,26M","0,70%"
02.04.2021,"18,47","18,72","18,81","18,38","972,52K","-0,43%"
01.04.2021,"18,55","18,03","18,57","18,03","2,58M","3,57%"
31.03.2021,"17,91","18,62","18,67","17,87","2,96M","-3,66%"
30.03.2021,"18,59","19,16","19,25","18,47","2,17M","-3,08%"
29.03.2021,"19,18","19,25","19,52","18,93","1,21M","0,37%"
26.03.2021,"19,11","19,57","20,18","18,77","2,80M","-1,34%"
25.03.2021,"19,37","19,37","20,01","19,33","3,14M","0,26%"
24.03.2021,"19,32","18,87","19,44","18,87","1,66M","3,37%"
23.03.2021,"18,69","18,16","19,03","17,31","4,15M","2,41%"
22.03.2021,"18,25","18,86","18,86","17,86","3,60M","-7,97%"
19.03.2021,"19,83","20,08","20,32","19,67","2,33M","-1,15%"
18.03.2021,"20,06","20,37","20,49","20,03","2,87M","-1,08%"
17.03.2021,"20,28","20,79","21,08","20,28","2,34M","-2,22%"
16.03.2021,"20,74","21,24","21,24","20,73","2,34M","-2,35%"
15.03.2021,"21,24","21,69","21,78","21,15","1,83M","-2,07%"
12.03.2021,"21,69","21,47","21,76","21,30","1,83M","1,40%"
11.03.2021,"21,39","21,58","21,69","21,34","1,84M","-0,33%"
10.03.2021,"21,46","21,24","21,75","21,24","1,61M","1,04%"
09.03.2021,"21,24","21,51","21,58","21,24","1,83M","-0,79%"
08.03.2021,"21,41","21,81","22,17","21,27","1,79M","-1,92%"
05.03.2021,"21,83","21,78","21,95","21,30","2,38M","0,23%"
04.03.2021,"21,78","21,25","21,98","21,08","2,32M","2,49%"
03.03.2021,"21,25","21,02","21,46","20,90","3,03M","1,38%"
02.03.2021,"20,96","20,56","20,98","20,20","3,31M","2,75%"
01.03.2021,"20,40","20,27","20,73","20,20","2,57M","1,69%"
26.02.2021,"20,06","19,11","20,62","19,11","4,34M","1,36%"
25.02.2021,"19,79","20,56","20,66","19,52","3,88M","-2,61%"
24.02.2021,"20,32","21,22","21,24","20,27","3,06M","-5,31%"
23.02.2021,"21,46","21,30","22,10","20,62","3,32M","0,99%"
22.02.2021,"21,25","21,32","21,52","21,08","1,97M","0,47%"
19.02.2021,"21,15","21,19","21,39","20,86","2,94M","0,24%"
18.02.2021,"21,10","21,46","21,54","21,07","2,07M","-1,26%"
17.02.2021,"21,37","22,10","22,26","21,29","2,50M","-3,00%"
16.02.2021,"22,03","22,49","22,63","21,66","2,50M","-1,70%"
15.02.2021,"22,41","21,73","22,46","21,71","1,96M","3,85%"
12.02.2021,"21,58","21,54","21,75","21,15","1,36M","0,42%"
11.02.2021,"21,49","21,80","21,98","21,35","2,88M","-1,42%"
10.02.2021,"21,80","21,80","21,95","21,68","1,95M","0,51%"
09.02.2021,"21,69","21,66","21,83","21,56","1,49M","0,46%"
08.02.2021,"21,59","21,92","21,98","21,41","2,32M","-0,74%"
05.02.2021,"21,75","21,92","22,00","21,59","2,81M","0,28%"
04.02.2021,"21,69","21,19","21,69","21,03","3,33M","2,65%"
03.02.2021,"21,13","20,88","21,64","20,86","3,90M","1,54%"
02.02.2021,"20,81","21,29","21,41","20,78","3,52M","-1,93%"
01.02.2021,"21,22","21,12","21,41","20,95","2,21M","0,57%"
29.01.2021,"21,10","21,13","21,61","20,95","2,90M","-1,26%"
28.01.2021,"21,37","20,79","21,59","20,51","2,55M","2,59%"
27.01.2021,"20,83","22,46","22,51","20,83","4,30M","-7,17%"
26.01.2021,"22,44","22,93","22,99","22,37","1,91M","-2,31%"
25.01.2021,"22,97","23,16","23,33","22,92","1,77M","0,09%"
22.01.2021,"22,95","23,78","23,87","22,37","2,96M","-1,76%"
21.01.2021,"23,36","24,09","24,36","23,36","2,78M","-2,95%"
20.01.2021,"24,07","24,18","24,36","23,92","2,81M","-0,45%"
19.01.2021,"24,18","23,77","24,46","23,77","3,21M","2,03%"
18.01.2021,"23,70","22,77","23,70","22,48","2,83M","4,50%"
15.01.2021,"22,68","23,02","23,39","22,51","4,14M","-2,11%"
14.01.2021,"23,17","22,85","23,48","22,73","3,58M","2,03%"
13.01.2021,"22,71","22,73","23,34","22,51","3,23M","0,89%"
12.01.2021,"22,51","23,12","23,78","22,43","2,39M","-1,92%"
11.01.2021,"22,95","22,26","23,67","22,12","4,56M","3,05%"
08.01.2021,"22,27","21,13","22,51","20,96","5,70M","6,30%"
07.01.2021,"20,95","21,24","21,25","20,88","2,52M","-0,57%"
06.01.2021,"21,07","20,86","21,35","20,86","3,40M","1,59%"
05.01.2021,"20,74","20,39","20,95","20,34","3,99M","1,57%"
04.01.2021,"20,42","19,89","20,56","19,79","4,65M","3,71%"
